"Obs","HHMMSS","FTime","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","CsMchSD","HsMchSD","CrMchSD","HrMchSD","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","Filename","Plot","Species","Sample","Filename_date","Timestamp","Comments"
1,"16:22:08",205,0,2.58,0.0172,153,0.248,1.39,26.29,6,1.42,1,2.84,21.46,26.29,20.06,403.66,400.45,20.449,20.74,78.42,79.54,500.2,1999,0,98.47,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,0.3,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can01_07222018","D01E","acru","can01","07222018",2018-07-22 16:18:56,"16:18:59 ; "
2,"16:22:10",206,0,2.5,0.0173,161,0.249,1.39,26.27,6,1.42,1,2.84,21.46,26.27,20.06,403.6,400.48,20.446,20.738,78.41,79.53,500.2,1998,0,98.47,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,0.3,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can01_07222018","D01E","acru","can01","07222018",2018-07-22 16:18:56,"16:18:59 ; "
3,"16:22:11",207.5,0,2.37,0.0171,171,0.247,1.39,26.27,6,1.42,1,2.84,21.46,26.27,20.06,403.51,400.54,20.445,20.735,78.4,79.51,500.2,1999,0,98.47,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,0.3,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can01_07222018","D01E","acru","can01","07222018",2018-07-22 16:18:56,"16:18:59 ; "
4,"16:22:12",208.5,0,2.34,0.0171,174,0.246,1.39,26.27,6,1.42,1,2.84,21.46,26.27,20.06,403.46,400.53,20.445,20.734,78.39,79.5,500.2,1999,0,98.47,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,0.3,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can01_07222018","D01E","acru","can01","07222018",2018-07-22 16:18:56,"16:18:59 ; "
5,"16:22:13",209,0,2.31,0.0171,177,0.247,1.39,26.27,6,1.42,1,2.84,21.46,26.27,20.06,403.42,400.53,20.444,20.734,78.39,79.5,500.2,1999,0,98.47,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,0.3,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can01_07222018","D01E","acru","can01","07222018",2018-07-22 16:18:56,"16:18:59 ; "
1,"16:27:10",227.5,0,4.02,0.0248,132,0.388,1.51,26.89,6,1.42,1,2.84,21.45,26.89,20.06,404.97,399.97,20.315,20.771,77.96,79.71,500.3,2000,0,98.47,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,0.7,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can02_07222018","D01E","acru","can02","07222018",2018-07-22 16:23:32,"16:23:34 ; "
2,"16:27:11",228.5,0,3.97,0.0249,136,0.39,1.51,26.88,6,1.42,1,2.84,21.45,26.88,20.06,404.97,400.02,20.314,20.772,77.95,79.71,500.3,2000,0,98.47,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can02_07222018","D01E","acru","can02","07222018",2018-07-22 16:23:32,"16:23:34 ; "
3,"16:27:12",230,0,3.95,0.025,138,0.39,1.51,26.87,6,1.42,1,2.84,21.45,26.87,20.06,404.93,400.01,20.313,20.771,77.95,79.71,500.3,2000,0,98.47,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can02_07222018","D01E","acru","can02","07222018",2018-07-22 16:23:32,"16:23:34 ; "
4,"16:27:13",231,0,4,0.0251,136,0.39,1.5,26.85,6,1.42,1,2.84,21.45,26.85,20.06,405,400.02,20.313,20.771,77.95,79.7,500.3,2000,0,98.47,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can02_07222018","D01E","acru","can02","07222018",2018-07-22 16:23:32,"16:23:34 ; "
5,"16:27:13",231.5,0,4.01,0.0251,135,0.39,1.5,26.85,6,1.42,1,2.84,21.45,26.85,20.06,405.02,400.02,20.312,20.771,77.94,79.7,500.4,2000,0,98.47,-3.46,0.51,0.0751,0.000804,0.0875,0.000898,1,-0.22,2.74,1,0,0.16,111115,"D01E_acru_can02_07222018","D01E","acru","can02","07222018",2018-07-22 16:23:32,"16:23:34 ; "
