"","Species","Haglof_Plot_ID","Haglof_ID","Site","Tag","Health_status","Date","Notes","PlotID","Tree_Dia","Latitude","Longitude","dbh","component","a","b","se","source","ref","leaf.mass","genus","sla","lai","fate"
"1","PIST",107,3422,"UMBS","3422","L","2019-06-10","","D01",81,45.5614299,-84.7069802,8.1,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.17449455770257,"Pinus",12.5,2.18118197128213,"live"
"2","PIST",107,3423,"UMBS","3423","L","2019-06-10","","D01",83,45.5614296,-84.7069506,8.3,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.18240196006116,"Pinus",12.5,2.28002450076451,"live"
"3","PIST",107,3420,"UMBS","3420","L","2019-06-10","","D01",83,45.561494,-84.7070154,8.3,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.18240196006116,"Pinus",12.5,2.28002450076451,"live"
"4","PIST",109,3458,"UMBS","3458","L","2019-06-10","","D01",88,45.5612499,-84.7063973,8.8,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.202856824276808,"Pinus",12.5,2.5357103034601,"live"
"5","PIST",104,3407,"UMBS","3407","L","2019-06-09","","D01",89,45.5613582,-84.7072165,8.9,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.207064786584888,"Pinus",12.5,2.5883098323111,"live"
"6","PIST",107,3421,"UMBS","3421","L","2019-06-10","","D01",91,45.5614543,-84.7069744,9.1,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.215597051360661,"Pinus",12.5,2.69496314200826,"live"
"7","PIST",101,3358,"UMBS","3358","L","2019-06-09","","D01",94,45.5616817,-84.7079495,9.4,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.228685125268867,"Pinus",12.5,2.85856406586084,"live"
"8","PIST",108,3447,"UMBS","3447","L","2019-06-10","","D01",121,45.5613411,-84.7064792,12.1,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.361814214516083,"Pinus",12.5,4.52267768145103,"live"
"9","PIST",104,3400,"UMBS","3400","L","2019-06-09","","D01",127,45.5614155,-84.707303,12.7,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.395071742606429,"Pinus",12.5,4.93839678258036,"live"
"10","PIST",104,3387,"UMBS","3387","L","2019-06-09","","D01",128,45.5615373,-84.7075349,12.8,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.400742240440118,"Pinus",12.5,5.00927800550147,"live"
"11","PIST",106,3415,"UMBS","3415","L","2019-06-10","","D01",137,45.5613605,-84.7071265,13.7,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.453404553664923,"Pinus",12.5,5.66755692081154,"live"
"12","PIST",109,3452,"UMBS","3452","L","2019-06-10","","D01",137,45.5612964,-84.7064361,13.7,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.453404553664923,"Pinus",12.5,5.66755692081154,"live"
"13","PIST",111,3470,"UMBS","3470","L","2019-06-10","","D01",153,45.5612387,-84.7063693,15.3,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.554177560844521,"Pinus",12.5,6.92721951055651,"live"
"14","PIST",109,3453,"UMBS","3453","L","2019-06-10","","D01",161,45.5613811,-84.7063593,16.1,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.607949105462883,"Pinus",12.5,7.59936381828604,"live"
"15","PIST",106,3416,"UMBS","3416","L","2019-06-10","","D01",169,45.561315,-84.7071619,16.9,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.663949043078973,"Pinus",12.5,8.29936303848716,"live"
"16","POGR",108,3443,"UMBS","3443","L","2019-06-10","","D01",102,45.5613614,-84.7066027,10.2,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",0.532021465212005,"Populus",15.89,8.45382108221876,"live"
"17","PIST",101,3360,"UMBS","3360","L","2019-06-09","","D01",192,45.5616712,-84.7078692,19.2,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.837187893813905,"Pinus",12.5,10.4648486726738,"live"
"18","PIST",104,3413,"UMBS","3413","L","2019-06-09","last tree mapped on 6/9","D01",197,45.5613725,-84.707152,19.7,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",0.877222454623703,"Pinus",12.5,10.9652806827963,"live"
"19","POGR",108,3441,"UMBS","3441","L","2019-06-10","","D01",118,45.561294,-84.7066624,11.8,"FL",0.0027,2.275,0.487,"Upper Great Lakes","Perala and Alban, 1994",0.741131599807308,"Populus",15.89,11.7765811209381,"live"
"20","PIST",107,3428,"UMBS","3428","L","2019-06-10","","D01",215,45.5614009,-84.7068944,21.5,"FL",0.0039,1.817,0.262,"Upper Great Lakes","Perala and Alban, 1994",1.02826555667938,"Pinus",12.5,12.8533194584922,"live"
