"Filename"	"Focal_Tree"	"Leaf_Sample"	"Filename_date"	"MeanPhoto"	"Date"	"Tree_Sample"	"Species"
"1EA1_01_20190620"	"1EA1"	"01"	"20190620"	3.852	2019-06-20	"1EA1 01"	"Acer"
"1EA1_01_20190806"	"1EA1"	"01"	"20190806"	4.622	2019-08-06	"1EA1 01"	"Acer"
"1EA1_02_20190620"	"1EA1"	"02"	"20190620"	9	2019-06-20	"1EA1 02"	"Acer"
"1EA1_02_20190806"	"1EA1"	"02"	"20190806"	5.23	2019-08-06	"1EA1 02"	"Acer"
"1EA1_03_20190620"	"1EA1"	"03"	"20190620"	7.054	2019-06-20	"1EA1 03"	"Acer"
"1EA1_03_20190806"	"1EA1"	"03"	"20190806"	3.418	2019-08-06	"1EA1 03"	"Acer"
"1EA2_01_20190620"	"1EA2"	"01"	"20190620"	7.808	2019-06-20	"1EA2 01"	"Acer"
"1EA2_01_20190806"	"1EA2"	"01"	"20190806"	7.842	2019-08-06	"1EA2 01"	"Acer"
"1EA2_02_20190620"	"1EA2"	"02"	"20190620"	5.33716666666667	2019-06-20	"1EA2 02"	"Acer"
"1EA2_02_20190806"	"1EA2"	"02"	"20190806"	9.14	2019-08-06	"1EA2 02"	"Acer"
"1EA2_03_20190620"	"1EA2"	"03"	"20190620"	6.388	2019-06-20	"1EA2 03"	"Acer"
"1EA2_03_20190806"	"1EA2"	"03"	"20190806"	9.012	2019-08-06	"1EA2 03"	"Acer"
"1EA3_01_20190618"	"1EA3"	"01"	"20190618"	5.514	2019-06-18	"1EA3 01"	"Acer"
"1EA3_01_20190806"	"1EA3"	"01"	"20190806"	11.42	2019-08-06	"1EA3 01"	"Acer"
"1EA3_02_20190618"	"1EA3"	"02"	"20190618"	5.964	2019-06-18	"1EA3 02"	"Acer"
"1EA3_02_20190806"	"1EA3"	"02"	"20190806"	17.76	2019-08-06	"1EA3 02"	"Acer"
"1EA3_03_20190618"	"1EA3"	"03"	"20190618"	8.622	2019-06-18	"1EA3 03"	"Acer"
"1EA3_03_20190806"	"1EA3"	"03"	"20190806"	15.5	2019-08-06	"1EA3 03"	"Acer"
"1EP1_01_20190620"	"1EP1"	"01"	"20190620"	9.574	2019-06-20	"1EP1 01"	"Populus"
"1EP1_01_20190806"	"1EP1"	"01"	"20190806"	18.9	2019-08-06	"1EP1 01"	"Populus"
"1EP1_02_20190620"	"1EP1"	"02"	"20190620"	11.8	2019-06-20	"1EP1 02"	"Populus"
"1EP1_02_20190806"	"1EP1"	"02"	"20190806"	16.58	2019-08-06	"1EP1 02"	"Populus"
"1EP1_03_20190620"	"1EP1"	"03"	"20190620"	11.32	2019-06-20	"1EP1 03"	"Populus"
"1EP1_03_20190806"	"1EP1"	"03"	"20190806"	16.08	2019-08-06	"1EP1 03"	"Populus"
"1EP2_01_20190620"	"1EP2"	"01"	"20190620"	7.208	2019-06-20	"1EP2 01"	"Populus"
"1EP2_01_20190806"	"1EP2"	"01"	"20190806"	9.41	2019-08-06	"1EP2 01"	"Populus"
"1EP2_02_20190620"	"1EP2"	"02"	"20190620"	6.22	2019-06-20	"1EP2 02"	"Populus"
"1EP2_02_20190806"	"1EP2"	"02"	"20190806"	9.21	2019-08-06	"1EP2 02"	"Populus"
"1EP2_03_20190620"	"1EP2"	"03"	"20190620"	4.604	2019-06-20	"1EP2 03"	"Populus"
"1EP2_03_20190806"	"1EP2"	"03"	"20190806"	11.24	2019-08-06	"1EP2 03"	"Populus"
"1EP3_01_20190620"	"1EP3"	"01"	"20190620"	15.74	2019-06-20	"1EP3 01"	"Populus"
"1EP3_01_20190806"	"1EP3"	"01"	"20190806"	17.04	2019-08-06	"1EP3 01"	"Populus"
"1EP3_02_20190620"	"1EP3"	"02"	"20190620"	14.96	2019-06-20	"1EP3 02"	"Populus"
"1EP3_02_20190806"	"1EP3"	"02"	"20190806"	17	2019-08-06	"1EP3 02"	"Populus"
"1EP3_03_20190620"	"1EP3"	"03"	"20190620"	14.42	2019-06-20	"1EP3 03"	"Populus"
"1EP3_03_20190806"	"1EP3"	"03"	"20190806"	13.54	2019-08-06	"1EP3 03"	"Populus"
"1EQ1_01_20190620"	"1EQ1"	"01"	"20190620"	13.36	2019-06-20	"1EQ1 01"	"Quercus"
"1EQ1_01_20190806"	"1EQ1"	"01"	"20190806"	20.54	2019-08-06	"1EQ1 01"	"Quercus"
"1EQ1_02_20190620"	"1EQ1"	"02"	"20190620"	14.02	2019-06-20	"1EQ1 02"	"Quercus"
"1EQ1_02_20190806"	"1EQ1"	"02"	"20190806"	22.02	2019-08-06	"1EQ1 02"	"Quercus"
"1EQ1_03_20190620"	"1EQ1"	"03"	"20190620"	10.82	2019-06-20	"1EQ1 03"	"Quercus"
"1EQ1_03_20190806"	"1EQ1"	"03"	"20190806"	13.74	2019-08-06	"1EQ1 03"	"Quercus"
"1EQ2_01_20190620"	"1EQ2"	"01"	"20190620"	4.344	2019-06-20	"1EQ2 01"	"Quercus"
