Filename,Species,MeanPhoto
D01E_acru_can01_07222018,acru,2.42
D01E_acru_can02_07222018,acru,3.99
D01E_acru_can03_07222018,acru,2.382
D01E_acru_can04_07222018,acru,5.812
D01E_acru_can05_07222018,acru,5.672
D01E_acru_can06_07222018,acru,2.486
D01E_acru_can07_07222018,acru,4.118
D01E_acru_can08_07222018,acru,3.178
D01E_acru_can09_07222018,acru,6.078
D01E_pogr_can01_07222018,pogr,8.834
D01E_pogr_can02_07222018,pogr,12.56
D01E_pogr_can03_07222018,pogr,13.56
D01E_pogr_can04_07222018,pogr,10.62
D01E_pogr_can05_07222018,pogr,9.746
D01E_pogr_can06_07222018,pogr,6.116
D01E_pogr_can07_07222018,pogr,13.3
D01E_pogr_can08_07222018,pogr,13.12
D01E_pogr_can09_07222018,pogr,15.86
D01E_quru_can01_07222018,quru,13.58
D01E_quru_can02_07222018,quru,13.74
D01E_quru_can03_07222018,quru,12.02
D01E_quru_can04_07222018,quru,9.01375
D01E_quru_can05_07222018,quru,8.113
D01E_quru_can06_07222018,quru,6.82
D01E_quru_can07_07222018,quru,10.32
D01E_quru_can08_07222018,quru,8.574
D01E_quru_can09_07222018,quru,11.06
D01W_acru_can01_07232018,acru,2.132
D01W_acru_can02_07232018,acru,4.748
D01W_acru_can03_07232018,acru,4.172
D01W_acru_can04_07232018,acru,3.596
D01W_acru_can05_07232018,acru,1.958
D01W_acru_can06_07232018,acru,1.346
D01W_acru_can07_07232018,acru,2.876
D01W_acru_can08_07232018,acru,3.786
D01W_acru_can09_07232018,acru,5.262
D01W_pogr_can01_07232018,pogr,13.37
D01W_pogr_can02_07232018,pogr,15.54
D01W_pogr_can03_07232018,pogr,16.3
D01W_pogr_can04_07232018,pogr,15.4
D01W_pogr_can05_07232018,pogr,13.54
D01W_pogr_can06_07232018,pogr,15.24
D01W_pogr_can07_07232018,pogr,16.46
D01W_pogr_can08_07232018,pogr,16.66
D01W_pogr_can09_07232018,pogr,15.48
D01W_quru_can01_07232018,quru,8.928
D01W_quru_can02_07232018,quru,10.66
D01W_quru_can03_07232018,quru,10.48
D01W_quru_can04_07232018,quru,12.64
D01W_quru_can05_07232018,quru,6.878
D01W_quru_can06_07232018,quru,9.282
D01W_quru_can07_07232018,quru,13.02
D01W_quru_can08_07232018,quru,9.258
D01W_quru_can09_07232018,quru,9.892
D02E_acru_can01_07182018,acru,8.986
D02E_acru_can02_07182018,acru,10.16
D02E_acru_can03_07182018,acru,7.362
D02E_acru_can06_07192018,acru,0.9738
D02E_acru_can07_07192018,acru,4.96
D02E_acru_can08_07192018,acru,5.886
D02E_acru_can09_07192018,acru,2.302
D02E_acru_can10_07192018,acru,1.29
D02E_acru_can11_07192018,acru,1.896
D02E_pogr_can01_07182018,pogr,8.494
D02E_pogr_can02_07182018,pogr,11.5
D02E_pogr_can03_07182018,pogr,9.602
D02E_pogr_can05_07182018,pogr,12.66
D02E_pogr_can07_07192018,pogr,16.04
D02E_pogr_can08_07192018,pogr,16.2
D02E_pogr_can09_07192018,pogr,14.95333333
D02E_pogr_can10_07192018,pogr,18
D02E_pogr_can11_07192018,pogr,16.42
D02E_quru_can01_07182018,quru,8.086
D02E_quru_can02_07182018,quru,8.188
D02E_quru_can03_07182018,quru,10.14
D02E_quru_can06_07182018,quru,12.3
D02E_quru_can07_07182018,quru,8.694
D02E_quru_can08_07182018,quru,14.14
D02E_quru_can11_07192018,quru,7.862
D02E_quru_can12_07192018,quru,9.184
D02E_quru_can13_07192018,quru,9.882
D02W_acru_can01_07182018,acru,1.714
D02W_acru_can02_07182018,acru,2.122
D02W_acru_can03_07182018,acru,2.472
D02W_acru_can06_07182018,acru,3.048
D02W_acru_can07_07182018,acru,2.84
D02W_acru_can08_07182018,acru,3.572
D02W_acru_can11_07182018,acru,2.26565
D02W_acru_can12_07182018,acru,2.344
D02W_acru_can13_07182018,acru,2.87
D02W_pogr_can01_07172018,pogr,15.48
D02W_pogr_can02_07172018,pogr,17.04
D02W_pogr_can03_07172018,pogr,17.12
D02W_pogr_can06_07182018,pogr,14.46
D02W_pogr_can07_07182018,pogr,14.38
D02W_pogr_can08_07182018,pogr,15.8
D02W_pogr_can11_07182018,pogr,15.6
D02W_pogr_can12_07182018,pogr,14.42
D02W_pogr_can13_07182018,pogr,20.42
D02W_quru_can_07172018,quru,16.78
D02W_quru_can02_07172018,quru,12.18
D02W_quru_can03_07172018,quru,16.58
D02W_quru_can06_07172018,quru,14.22
D02W_quru_can07_07172018,quru,10.95
D02W_quru_can08_07172018,quru,10.22
D02W_quru_can11_07182018,quru,6.286
D02W_quru_can12_07182018,quru,9.784
D02W_quru_can13_07182018,quru,5.2
D03E_acru_can01_07202018,acru,4.348
D03E_acru_can02_07202018,acru,7.032
D03E_acru_can03_07202018,acru,3.066
D03E_acru_can04_07202018,acru,6.47
D03E_acru_can05_07202018,acru,4.012
D03E_acru_can06_07202018,acru,4.906
D03E_acru_can07_07202018,acru,10.2
D03E_acru_can08_07202018,acru,10.48
D03E_acru_can09_07202018,acru,11.2
D03E_pogr_can01_07202018,pogr,12.52
D03E_pogr_can02_07202018,pogr,12.14
D03E_pogr_can03_07202018,pogr,13.12
D03E_pogr_can04_07202018,pogr,14.22
D03E_pogr_can05_07202018,pogr,14.68
D03E_pogr_can06_07202018,pogr,13.06
D03E_pogr_can07_07202018,pogr,6.878
D03E_pogr_can08_07202018,pogr,7.447
D03E_pogr_can09_07202018,pogr,9.693
D03E_quru_can01_07202018,quru,8.168
D03E_quru_can02_07202018,quru,10.68
D03E_quru_can03_07202018,quru,11.04
D03E_quru_can04_07202018,quru,10.16
D03E_quru_can05_07202018,quru,13.02
D03E_quru_can06_07202018,quru,10.1
D03E_quru_can07_07202018,quru,11.23
D03E_quru_can09_07202018,quru,8.696
D03E_quru_can10_07202018,quru,9.66
D03W_acru_can01_07222018,acru,1.674
D03W_acru_can02_07222018,acru,3.624
D03W_acru_can03_07222018,acru,3.294
D03W_acru_can04_07222018,acru,6.956
D03W_acru_can05_07222018,acru,12.64
D03W_acru_can06_07222018,acru,10.52
D03W_acru_can07_07222018,acru,15.18
D03W_acru_can08_07222018,acru,5.902
D03W_acru_can09_07222018,acru,11.1
D03W_pogr_can01_07222018,pogr,14.73
D03W_pogr_can02_07222018,pogr,16.62
D03W_pogr_can03_07222018,pogr,13.8
D03W_pogr_can04_07222018,pogr,16
D03W_pogr_can06_07222018,pogr,12.86
D03W_pogr_can07_07222018,pogr,12.98
D03W_pogr_can08_07222018,pogr,15.4
D03W_pogr_can09_07222018,pogr,16.9
D03W_pogr_can10_07222018,pogr,9.016
D03W_quru_can01_07222018,quru,13.04
D03W_quru_can02_07222018,quru,6.156
D03W_quru_can03_07222018,quru,12.1
D03W_quru_can04_07222018,quru,19.84
D03W_quru_can05_07222018,quru,16.18
D03W_quru_can06_07222018,quru,18.82
D03W_quru_can07_07222018,quru,12.66
D03W_quru_can08_07222018,quru,17.42
D03W_quru_can09_07222018,quru,10.12
D04E_acru_can01_07192018,acru,6.864
D04E_acru_can02_07192018,acru,4.928
D04E_acru_can03_07192018,acru,5.862
D04E_acru_can04_07192018,acru,2.868
D04E_acru_can05_07192018,acru,1.91
D04E_acru_can06_07192018,acru,2.238
D04E_acru_can07_07192018,acru,1.842
D04E_acru_can08_07192018,acru,6.72
D04E_acru_can09_07192018,acru,1.884
D04E_pogr_can01_07192018,pogr,14.62
D04E_pogr_can02_07192018,pogr,13.58
D04E_pogr_can03_07192018,pogr,14.9
D04E_pogr_can04_07192018,pogr,15.22
D04E_pogr_can05_07192018,pogr,5.254
D04E_pogr_can06_07192018,pogr,11.3
D04E_pogr_can07_07192018,pogr,14.6
D04E_pogr_can08_07192018,pogr,13.38
D04E_pogr_can09_07192018,pogr,13.36
D04E_quru_can01_07192018,quru,9.014
D04E_quru_can02_07192018,quru,8.58
D04E_quru_can03_07192018,quru,10.7
D04E_quru_can04_07192018,quru,11.84
D04E_quru_can05_07192018,quru,8.636
D04E_quru_can06_07192018,quru,10.12
D04E_quru_can07_07192018,quru,12.4
D04E_quru_can08_07192018,quru,12.18
D04E_quru_can09_07192018,quru,15.02
D04W_acru_can01_07202018,acru,0.10758
D04W_acru_can02_07202018,acru,2.622
D04W_acru_can03_07202018,acru,1.214
D04W_acru_can04_07202018,acru,8.47
D04W_acru_can05_07202018,acru,8.086
D04W_acru_can06_07202018,acru,8.902
D04W_acru_can07_07202018,acru,5.564
D04W_acru_can08_07202018,acru,5.402
D04W_acru_can09_07202018,acru,7.582
D04W_pogr_can01_07192018,pogr,12.48
D04W_pogr_can02_07192018,pogr,10.52
D04W_pogr_can03_07192018,pogr,9.778
D04W_pogr_can04_07192018,pogr,4.622
D04W_pogr_can05_07192018,pogr,7.854
D04W_pogr_can06_07192018,pogr,10.8
D04W_pogr_can07_07202018,pogr,10.34791
D04W_pogr_can08_07202018,pogr,15.44
D04W_pogr_can09_07202018,pogr,10.6
D04W_quru_can01_07202018,quru,11.78
D04W_quru_can02_07202018,quru,9.929
D04W_quru_can03_07202018,quru,12.7
D04W_quru_can04_07202018,quru,10.87142857
D04W_quru_can05_07202018,quru,11.95
D04W_quru_can06_07202018,quru,15.62
D04W_quru_can07_07202018,quru,15.6
D04W_quru_can08_07202018,quru,12.1
D04W_quru_can09_07202018,quru,15.68
