Focal_Tree,Plot,Species,Severity,Year,mean_Asat
1EA1,D01E,Acer,0,2019,4.423333333
1EA2,D01E,Acer,0,2019,8.664666667
1EA3,D01E,Acer,0,2019,14.89333333
1EP1,D01E,Populus,0,2019,17.18666667
1EP2,D01E,Populus,0,2019,9.953333333
1EP3,D01E,Populus,0,2019,15.86
1EQ1,D01E,Quercus,0,2019,18.76666667
1EQ2,D01E,Quercus,0,2019,12.7
1EQ3,D01E,Quercus,0,2019,15.39333333
1WA1,D01W,Acer,0,2019,12.18666667
1WA2,D01W,Acer,0,2019,7.868
1WA3,D01W,Acer,0,2019,11.57333333
1WP1,D01W,Populus,0,2019,14.92666667
1WP2,D01W,Populus,0,2019,11.08133333
1WP3,D01W,Populus,0,2019,16.04666667
1WQ1,D01W,Quercus,0,2019,17.61333333
1WQ2,D01W,Quercus,0,2019,15.6
1WQ3,D01W,Quercus,0,2019,18.72
2EA1,D02E,Acer,85,2019,10.998
2EA2,D02E,Acer,85,2019,9.044666667
2EA3,D02E,Acer,85,2019,7.970666667
2EP1,D02E,Populus,85,2019,14.545
2EP2,D02E,Populus,85,2019,12.82
2EP3,D02E,Populus,85,2019,16.87333333
2EQ1,D02E,Quercus,85,2019,14.156
2EQ2,D02E,Quercus,85,2019,17.856
2EQ3,D02E,Quercus,85,2019,12.72
2WA1,D02W,Acer,85,2019,7.106
2WA2,D02W,Acer,85,2019,4.596
2WA3,D02W,Acer,85,2019,12.5
2WP1,D02W,Populus,85,2019,17.54
2WP2,D02W,Populus,85,2019,19.98666667
2WP3,D02W,Populus,85,2019,18.95333333
2WQ1,D02W,Quercus,85,2019,17.87333333
2WQ2,D02W,Quercus,85,2019,17.776
2WQ3,D02W,Quercus,85,2019,15.20666667
3EA1,D03E,Acer,45,2019,9.041333333
3EA2,D03E,Acer,45,2019,7.039333333
3EA3,D03E,Acer,45,2019,15.81333333
3EP1,D03E,Populus,45,2019,16.60666667
3EP2,D03E,Populus,45,2019,14.70666667
3EP3,D03E,Populus,45,2019,18.68666667
3EQ1,D03E,Quercus,45,2019,14.078
3EQ2,D03E,Quercus,45,2019,16.52666667
3EQ3,D03E,Quercus,45,2019,12.53333333
3WA1,D03W,Acer,45,2019,10.35
3WA2,D03W,Acer,45,2019,7.826666667
3WA3,D03W,Acer,45,2019,9.388666667
3WP1,D03W,Populus,45,2019,17.56666667
3WP2,D03W,Populus,45,2019,19.16
3WP3,D03W,Populus,45,2019,17.59333333
3WQ1,D03W,Quercus,45,2019,17.21333333
3WQ2,D03W,Quercus,45,2019,22.06666667
3WQ3,D03W,Quercus,45,2019,10.92266667
4EA1,D04E,Acer,65,2019,12.85333333
4EA2,D04E,Acer,65,2019,11.942
4EA3,D04E,Acer,65,2019,10.68
4EP1,D04E,Populus,65,2019,15.66
4EP2,D04E,Populus,65,2019,17.58666667
4EP3,D04E,Populus,65,2019,15.92
4EQ1,D04E,Quercus,65,2019,13.35333333
4EQ2,D04E,Quercus,65,2019,20.78666667
4EQ3,D04E,Quercus,65,2019,4.206
4WA1,D04W,Acer,65,2019,8.272
4WA2,D04W,Acer,65,2019,10.64
4WA3,D04W,Acer,65,2019,11.22066667
4WP1,D04W,Populus,65,2019,15.55333333
4WP2,D04W,Populus,65,2019,18.31333333
4WP3,D04W,Populus,65,2019,14.12
4WQ1,D04W,Quercus,65,2019,20.86666667
4WQ2,D04W,Quercus,65,2019,20.94666667
4WQ3,D04W,Quercus,65,2019,16.62
