sep=,
Plot,Plot_Radius,Nr,Tree_Spc,Tree_Dia,Tree_Hgt,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,Tree_Nr
124, 30.00,Plot,0,,0,0,0,0,0,0,0,0,0,45.5617426,-84.7055410
124, 30.00,03600,   1,  87,   0, 889,1088,1029,-9.76,-2.17,9.99,257.47,6,45.5617256,-84.7056668,3600
124, 30.00,03601,   1, 110,   0, 871,1069,1014,-9.55,-2.31,9.82,256.37,4,45.5617242,-84.7056641,3601
124, 30.00,03602,   1, 341,   0, 950,1132,1131,-9.08,-5.40,10.56,239.24,3,45.5616963,-84.7056592,3602
124, 30.00,03603,   1, 371,   0, 771, 932, 963,-6.62,-5.69,8.73,229.34,7,45.5616931,-84.7056279,3603
124, 30.00,03604,   1, 119,   0, 645, 843, 798,-7.25,-2.22,7.58,252.97,5,45.5617245,-84.7056347,3604
124, 30.00,03605,   1, 111,   0, 528, 728, 669,-6.24,-1.33,6.38,257.94,6,45.5617322,-84.7056214,3605
124, 30.00,03606,   1, 103,   0, 508, 705, 670,-5.86,-2.13,6.23,250.02,2,45.5617250,-84.7056168,3606
124, 30.00,03607,   1, 221,   0, 566, 722, 762,-4.88,-4.65,6.74,226.43,7,45.5617021,-84.7056053,3607
124, 30.00,03608,   1, 123,   0, 616, 751, 816,-4.54,-5.62,7.23,218.97,6,45.5616932,-84.7056013,3608
124, 30.00,03609,   1,  94,   0, 652, 781, 859,-4.48,-6.13,7.59,216.12,7,45.5616886,-84.7056006,3609
124, 30.00,03610,   1,  82,   0,1046,1214,1044,-9.51,5.53,11.00,300.18,9,45.5617948,-84.7056608,3610
124, 30.00,03611,   1, 130,   0, 999,1166, 997,-9.09,5.26,10.50,300.05,8,45.5617922,-84.7056555,3611
124, 30.00,03612,   1,  77,   0,1010,1163, 982,-8.36,6.36,10.51,307.27,10,45.5618020,-84.7056458,3612
124, 30.00,03613,   1, 189,   0,1232,1376,1182,-9.16,8.62,12.58,313.25,10,45.5618224,-84.7056552,3613
124, 30.00,03614,   1, 109,   0,1217,1328,1139,-7.43,9.76,12.26,322.72,-18,45.5618323,-84.7056326,3614
124, 30.00,03615,   1, 286,   0,1405,1465,1268,-4.41,12.97,13.70,341.21,5,45.5618604,-84.7055928,3615
124, 30.00,03617,   1, 192,   0,1605,1614,1436,-0.86,15.45,15.48,356.83,6,45.5618818,-84.7055463,3617
124, 30.00,03618,   1, 183,   0,1304,1262,1111,2.63,11.92,12.21,12.42,6,45.5618492,-84.7055031,3618
124, 30.00,03619,   1, 284,   0,1140,1100, 948,2.05,10.33,10.53,11.25,7,45.5618350,-84.7055110,3619
124, 30.00,03620,   1, 302,   0,1111,1048, 915,3.24,9.62,10.15,18.61,10,45.5618283,-84.7054960,3620
124, 30.00,03621,   1, 184,   0, 895, 915, 728,-1.03,8.35,8.41,352.94,10,45.5618180,-84.7055512,3621
