Focal_Tree,mean_NDVI,Year
1EA1,0.844364533,2019
1EA2,0.8337871,2019
1EA3,0.875962933,2019
1EP1,0.879229733,2019
1EP2,0.8521538,2019
1EP3,0.869968,2019
1EQ1,0.8970871,2019
1EQ2,0.869203167,2019
1EQ3,0.883291433,2019
1WA1,0.876441633,2019
1WA2,0.831342833,2019
1WA3,0.865794833,2019
1WP1,0.861023033,2019
1WP2,0.857923,2019
1WP3,0.878819733,2019
1WQ1,0.854291367,2019
1WQ2,0.858978333,2019
1WQ3,0.872619767,2019
2EA1,0.85654492,2019
2EA2,0.815251633,2019
2EA3,0.838216467,2019
2EP1,0.8570632,2019
2EP2,0.864845767,2019
2EP3,0.851723133,2019
2EQ1,0.8608688,2019
2EQ2,0.85618846,2019
2EQ3,0.858463967,2019
2WA1,0.836354533,2019
2WA2,0.8333484,2019
2WA3,0.8769973,2019
2WP1,0.864879333,2019
2WP2,0.854763267,2019
2WP3,0.862333567,2019
2WQ1,0.8303364,2019
2WQ2,0.87693372,2019
2WQ3,0.859541967,2019
3EA1,0.8287177,2019
3EA2,0.816084933,2019
3EA3,0.850225333,2019
3EP1,0.804473,2019
3EP2,0.873220733,2019
3EP3,0.823546633,2019
3EQ1,0.839171867,2019
3EQ2,0.860873367,2019
3EQ3,0.859509067,2019
3WA1,0.841818367,2019
3WA2,0.8486769,2019
3WA3,0.844933933,2019
3WP1,0.846005267,2019
3WP2,0.871617567,2019
3WP3,0.836114533,2019
3WQ1,0.871506467,2019
3WQ2,0.874592233,2019
3WQ3,0.8951824,2019
4EA1,0.804303,2019
4EA2,0.872080567,2019
4EA3,0.8519312,2019
4EP1,0.8575231,2019
4EP2,0.874554067,2019
4EP3,0.8909516,2019
4EQ1,0.931333433,2019
4EQ2,0.887029967,2019
4EQ3,0.8536592,2019
4WA1,0.848968733,2019
4WA2,0.842314367,2019
4WA3,0.851684167,2019
4WP1,0.9150175,2019
4WP2,0.865469275,2019
4WP3,0.883185033,2019
4WQ1,0.863212933,2019
4WQ2,0.8688204,2019
4WQ3,0.8895243,2019
